# Indice des prix à la consommation — moyennes ANNUELLES, base 2015 = 100.
# Ensemble des ménages, France entière, ensemble (avec tabac).
#
# Source officielle : INSEE, Banque de données macroéconomiques (BDM),
# idbank 001764363 (« Indice annuel des prix à la consommation - Base 2015 -
# Ensemble des ménages - France - Ensemble »).
# Point d'accès public (sans clé) :
#   https://bdm.insee.fr/series/sdmx/data/SERIES_BDM/001764363
# Valeurs relevées le 2026-07-03 (LAST_UPDATE INSEE : 2026-01-15, statut définitif).
#
# Usage : déflater la série annuelle en euros constants —
#   montant_constant(annee_ref) = montant * ipc(annee_ref) / ipc(annee).
# La série base 2015 est arrêtée fin 2025 (rebasage INSEE 2026) : à son
# épuisement, remplacer ce fichier par la nouvelle base et re-relever les valeurs.
#
# Colonnes : annee,ipc
annee,ipc
2000,79.9
2001,81.2
2002,82.8
2003,84.5
2004,86.3
2005,87.9
2006,89.33
2007,90.66
2008,93.21
2009,93.29
2010,94.71
2011,96.71
2012,98.6
2013,99.46
2014,99.96
2015,100.0
2016,100.18
2017,101.22
2018,103.09
2019,104.23
2020,104.73
2021,106.45
2022,112.01
2023,117.47
2024,119.82
2025,120.95
